Step 578, max 512, Score 7888, 
Step 515, max 512, Score 6928, 
Step 439, max 512, Score 5808, 
Step 788, max 1024, Score 12368, 
Step 303, max 256, Score 3392, 
Step 303, max 256, Score 3440, 
Step 537, max 512, Score 7312, 
Step 686, max 1024, Score 10816, 
Step 763, max 1024, Score 12000, 
Step 769, max 1024, Score 12160, 
